type,name,atrophy,behavior,cognitive,alertnesss,coordination,cranial_nerve,dysautonomia,EOMS,fatigue,gait,head,hyperkinesia,hyperreflexia,hypertonia,hypokinesia,hyporeflexia,hypotonia,neck,pain,seizure,sensory,skin,speech,sphincter,tremor,vision,weakness,misc
ataxia,Autosomal_recessive_congenital_cerebellar_ataxia_due_to_GRID2_deficiency,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ataxia,Autosomal_recessive_congenital_cerebellar_ataxia_due_to_MGLUR1_deficiency,0,0,0,0,3,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Autosomal_recessive_spastic_ataxia_of_Charlevoix_Saguenay,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,0,2,0
ataxia,Autosomal_recessive_spastic_ataxia_with_leukoencephalopathy,0,0,1,0,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ataxia,Autosomal_recessive_spastic_ataxia_optic_atrophy_dysarthria_syndrome,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ataxia,Benign_paroxysmal_tonic_upgaze_of_childhood_with_ataxia,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ataxia,Cataract_ataxia_deafness_syndrome,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ataxia,Cerebellar_ataxia_Cayman_type,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
ataxia,Cerebellar_ataxia_with_neuropathy_and_bilateral_vestibular_areflexia_syndrome,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
ataxia,Cerebellar_ataxia_areflexia_pes_cavus_optic_atrophy_sensorineural_hearing_loss_syndrome,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
ataxia,Cerebellar_ataxia_ectodermal_dysplasia_syndrome,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ataxia,Cerebellar_ataxia_hypogonadism_syndrome,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
ataxia,Congenital_cerebellar_ataxia_due_to_RNU12_mutation,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
ataxia,Early_onset_cerebellar_ataxia_with_retained_tendon_reflexes,1,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
ataxia,Early_onset_spastic_ataxia_myoclonic_epilepsy_neuropathy_syndrome,1,0,1,0,3,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ataxia,Episodic_ataxia_type_1,0,0,0,0,2,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3
ataxia,Episodic_ataxia_type_3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ataxia,Episodic_ataxia_type_4,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ataxia,Episodic_ataxia_type_5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Episodic_ataxia_type_6,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,1
ataxia,Episodic_ataxia_type_7,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
ataxia,Episodic_ataxia_with_slurred_speech,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
ataxia,Familial_paroxysmal_ataxia,0,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
ataxia,Fragile_X_associated_tremor/ataxia_syndrome,0,3,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,1,0,1,3
ataxia,Friedreich_ataxia,0,0,0,0,3,2,0,2,0,3,0,2,0,1,0,1,0,0,0,0,1,0,2,1,1,2,1,0
ataxia,Infantile_onset_autosomal_recessive_nonprogressive_cerebellar_ataxia,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2
ataxia,Lethal_ataxia_with_deafness_and_optic_atrophy,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2,1
ataxia,Muscular_atrophy_ataxia_retinitis_pigmentosa_diabetes_mellitus_syndrome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ataxia,Myoclonus_cerebellar_ataxia_deafness_syndrome,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
ataxia,Optic_atrophy_ataxia_peripheral_neuropathy_global_developmental_delay_syndrome,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,2
ataxia,Posterior_column_ataxia_retinitis_pigmentosa_syndrome,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,1,3,0,1
ataxia,Recessive_mitochondrial_ataxia_syndrome,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1
ataxia,Spastic_ataxia_with_congenital_miosis,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ataxia,Spastic_ataxia_corneal_dystrophy_syndrome,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ataxia,Spectrin_associated_autosomal_recessive_cerebellar_ataxia,0,0,1,0,3,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0
ataxia,Sporadic_adult_onset_ataxia_of_unknown_etiology,0,0,2,0,2,1,0,3,0,1,0,0,1,2,2,0,0,0,0,0,1,0,1,1,2,1,0,0
ataxia,Tremor_ataxia_central_hypomyelination_syndrome,0,0,1,0,3,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,2,3,0,1
ataxia,X_linked_non_progressive_cerebellar_ataxia,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
ataxia,X_linked_progressive_cerebellar_ataxia,1,0,0,0,4,0,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
ataxia,Autosomal_recessive_spinocerebellar_ataxia_blindness_deafness_syndrome,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0
ataxia,Childhood_onset_autosomal_recessive_slowly_progressive_spinocerebellar_ataxia,0,0,0,0,3,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
ataxia,Infantile_onset_spinocerebellar_ataxia,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ataxia,Spinocerebellar_ataxia_type_1,2,1,2,0,2,0,0,6,0,1,1,2,1,0,1,1,0,0,0,0,1,0,2,0,1,1,0,1
ataxia,Spinocerebellar_ataxia_type_10,0,2,0,1,2,0,0,3,0,2,0,1,1,0,0,1,0,0,0,4,0,0,2,1,2,0,0,1
ataxia,Spinocerebellar_ataxia_type_11,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_12,0,0,2,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
ataxia,Spinocerebellar_ataxia_type_13,0,0,1,0,2,1,0,3,0,0,1,2,2,0,0,0,0,0,0,0,1,0,1,2,1,2,0,2
ataxia,Spinocerebellar_ataxia_type_14,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ataxia,Spinocerebellar_ataxia_type_15/16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ataxia,Spinocerebellar_ataxia_type_17,0,0,1,0,1,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_18,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0
ataxia,Spinocerebellar_ataxia_type_19/22,0,0,0,0,4,0,0,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_2,1,0,1,0,0,0,0,4,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1
ataxia,Spinocerebellar_ataxia_type_20,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0
ataxia,Spinocerebellar_ataxia_type_21,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_23,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_25,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,1,0,1
ataxia,Spinocerebellar_ataxia_type_26,1,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ataxia,Spinocerebellar_ataxia_type_27,0,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
ataxia,Spinocerebellar_ataxia_type_28,0,0,2,0,1,1,0,3,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0
ataxia,Spinocerebellar_ataxia_type_29,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
ataxia,Spinocerebellar_ataxia_type_3,1,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ataxia,Spinocerebellar_ataxia_type_30,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_31,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ataxia,Spinocerebellar_ataxia_type_34,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_35,0,0,1,0,2,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
ataxia,Spinocerebellar_ataxia_type_36,2,1,0,0,4,3,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,3,1,0,0
ataxia,Spinocerebellar_ataxia_type_37,0,0,0,0,3,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ataxia,Spinocerebellar_ataxia_type_4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_40,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
ataxia,Spinocerebellar_ataxia_type_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_42,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0
ataxia,Spinocerebellar_ataxia_type_43,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0
ataxia,Spinocerebellar_ataxia_type_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_type_6,0,1,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
ataxia,Spinocerebellar_degeneration_corneal_dystrophy_syndrome,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ataxia,Spinocerebellar_ataxia_type_7,0,1,1,1,3,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,4
ataxia,Spinocerebellar_ataxia_type_8,0,0,0,0,2,0,0,2,0,1,0,2,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0
ataxia,Spinocerebellar_ataxia_with_axonal_neuropathy_type_1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
ataxia,Spinocerebellar_ataxia_with_axonal_neuropathy_type_2,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
ataxia,Spinocerebellar_ataxia_dysmorphism_syndrome,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2
ataxia,X_linked_sideroblastic_anemia_and_spinocerebellar_ataxia,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ataxia,X_linked_spinocerebellar_ataxia_type_3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ataxia,X_linked_spinocerebellar_ataxia_type_4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2A2,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,2,0,3,0,2,0,2,2,4,1
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2E,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2F,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2W,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2Y,1,0,1,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,5,0
CMT,Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2Z,7,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,2,1,1,2,9,1
CMT,Autosomal_recessive_axonal_Charcot_Marie_Tooth_disease_due_to_copper_metabolism_defect,2,0,0,0,1,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0
CMT,Autosomal_recessive_Charcot_Marie_Tooth_disease_with_hoarseness,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,4,0
CMT,Charcot_Marie_Tooth_disease_type_1A,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,2,1
CMT,Charcot_Marie_Tooth_disease_type_1B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
CMT,Charcot_Marie_Tooth_disease_type_1E,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,3,0
CMT,Charcot_Marie_Tooth_disease_type_1F,4,0,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,1,1,2,0,5,0
CMT,Charcot_Marie_Tooth_disease_type_2B1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0
CMT,Charcot_Marie_Tooth_disease_type_4A,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,4,2
CMT,Charcot_Marie_Tooth_disease_type_4B2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,3,4,0
CMT,Charcot_Marie_Tooth_disease_type_4C,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,2,0,3,0,1,0,1,5,3,2
CMT,Charcot_Marie_Tooth_disease_type_4D,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
CMT,Charcot_Marie_Tooth_disease_type_4G,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0
CMT,X_linked_Charcot_Marie_Tooth_disease_type_1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0
CMT,X_linked_Charcot_Marie_Tooth_disease_type_2,3,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,3,3,0
CMT,X_linked_Charcot_Marie_Tooth_disease_type_3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1
CMT,X_linked_Charcot_Marie_Tooth_disease_type_4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
CMT,X_linked_Charcot_Marie_Tooth_disease_type_5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1,1
CMT,X_linked_Charcot_Marie_Tooth_disease_type_6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
myopathy,Pyomyositis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
myopathy,Adenylosuccinate_synthetase_like_1_related_distal_myopathy,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
myopathy,Adult_onset_chronic_progressive_external_ophthalmoplegia_with_mitochondrial_myopathy,1,0,2,0,1,2,0,2,1,2,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,3,2
myopathy,Adult_onset_distal_myopathy_due_to_VCP_mutation,2,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,4,1
myopathy,Adult_onset_nemaline_myopathy,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2
myopathy,Alpha_B_crystallin_related_late_onset_myopathy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,0
myopathy,Amish_nemaline_myopathy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
myopathy,Autosomal_dominant_centronuclear_myopathy,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3
myopathy,Autosomal_dominant_congenital_benign_spinal_muscular_atrophy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
myopathy,Autosomal_dominant_mitochondrial_myopathy_with_exercise_intolerance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
myopathy,Autosomal_recessive_centronuclear_myopathy,1,0,1,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1
myopathy,Benign_Samaritan_congenital_myopathy,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
myopathy,Bethlem_myopathy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
myopathy,BICD2_related_autosomal_dominant_childhood_onset_proximal_spinal_muscular_atrophy,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1
myopathy,Cap_myopathy,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3
myopathy,Cardiomyopathy_cataract_hip_spine_disease_syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
myopathy,Cardiomyopathy_hypotonia_lactic_acidosis_syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
myopathy,Childhood_onset_nemaline_myopathy,1,0,0,0,2,2,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,4
myopathy,Cirrhotic_cardiomyopathy,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
myopathy,Classic_multiminicore_myopathy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,6
myopathy,Congenital_cataract_hypertrophic_cardiomyopathy_mitochondrial_myopathy_syndrome,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
myopathy,Congenital_fiber_type_disproportion_myopathy,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,6,6
myopathy,Congenital_multicore_myopathy_with_external_ophthalmoplegia,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
myopathy,Congenital_myopathy_with_myasthenic_like_onset,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6
myopathy,Dilated_cardiomyopathy_hypergonadotropic_hypogonadism_syndrome,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myopathy,Distal_myopathy_Tateyama_type,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,2
