type,sepal_length=<_5,sepal_length=5_-_6,sepal_length=6_-_7,sepal_length=≥_7,sepal_width=<_3,sepal_width=3_-_4,sepal_width=≥_4,petal_length=<_2,petal_length=2_-_4,petal_length=4_-_6,petal_length=≥_6,petal_width=<_1,petal_width=1_-_2,petal_width=≥_2
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,0,1,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,0,1,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-setosa,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Iris-versicolor,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,1,0,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Iris-versicolor,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Iris-virginica,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,0,1,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Iris-virginica,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Iris-virginica,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-virginica,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Iris-virginica,0,0,0,1,1,0,0,0,0,0,1,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Iris-virginica,0,0,0,1,1,0,0,0,0,0,1,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,0,1,0,1,0,0,0,0,1,0,1,0
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,0,1
Iris-virginica,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Iris-virginica,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Iris-virginica,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,1,0,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,1,0,0,0,0,1,0,0,1,0
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Iris-virginica,0,1,0,0,0,1,0,0,0,1,0,0,1,0
