type,name,hyperreflexia,sensory,hypertonia,hyporeflexia,eye_movements,incoordination,atrophy,tremor,weakness,cognitive
CMT,Charcot-Marie-Tooth_disease-deafness-intellectual_disability_syndrome,0,1,0,2,0,0,4,0,1,1
CMT,X-linked_Charcot-Marie-Tooth_disease_type_1,0,1,0,1,0,1,1,1,0,0
CMT,X-linked_Charcot-Marie-Tooth_disease_type_2,4,1,0,3,0,0,3,1,3,0
CMT,X-linked_Charcot-Marie-Tooth_disease_type_3,0,0,0,3,0,0,3,1,4,0
CMT,X-linked_Charcot-Marie-Tooth_disease_type_4,0,1,0,1,0,1,1,1,1,0
CMT,X-linked_Charcot-Marie-Tooth_disease_type_5,0,1,0,1,0,1,0,1,1,0
CMT,X-linked_Charcot-Marie-Tooth_disease_type_6,0,2,0,1,0,0,2,1,1,0
CMT,Hereditary_sensory_and_autonomic_neuropathy_due_to_TECPR2_mutation,0,0,0,1,0,1,0,0,0,0
CMT,Hereditary_sensory_and_autonomic_neuropathy_type_1,0,3,0,0,0,0,1,0,3,0
CMT,Hereditary_sensory_and_autonomic_neuropathy_type_2,0,0,0,0,0,0,1,0,0,0
CMT,Hereditary_sensory_and_autonomic_neuropathy_type_4,0,1,0,0,0,0,0,0,0,0
CMT,Hereditary_sensory_and_autonomic_neuropathy_type_5,0,0,0,0,0,0,0,0,0,1
CA,Autosomal_recessive_spinocerebellar_ataxia-blindness-deafness_syndrome,0,2,0,0,1,0,1,1,0,0
CA,Childhood-onset_autosomal_recessive_slowly_progressive_spinocerebellar_ataxia,3,1,0,0,5,3,0,1,0,0
CA,Infantile-onset_spinocerebellar_ataxia,0,0,0,1,1,1,0,0,0,0
CA,Spinocerebellar_ataxia_type_1,1,1,0,2,6,2,2,1,0,2
CA,Spinocerebellar_ataxia_type_10,3,0,1,2,3,2,0,2,0,0
CA,Spinocerebellar_ataxia_type_11,0,0,0,0,3,0,0,0,0,0
CA,Spinocerebellar_ataxia_type_12,3,0,0,0,0,3,0,4,0,2
CA,Spinocerebellar_ataxia_type_13,3,1,0,0,2,2,0,1,0,1
CA,Spinocerebellar_ataxia_type_14,0,0,1,1,2,1,0,1,0,1
CA,Spinocerebellar_ataxia_type_15/16,2,0,0,0,0,1,0,4,0,0
CA,Spinocerebellar_ataxia_type_17,1,0,2,0,0,1,0,0,0,1
CA,Spinocerebellar_ataxia_type_18,1,0,0,2,1,1,1,2,1,0
CA,Spinocerebellar_ataxia_type_19/22,2,0,1,2,4,4,0,0,0,0
CA,Spinocerebellar_ataxia_type_2,1,0,0,2,4,0,1,2,0,1
CA,Spinocerebellar_ataxia_type_20,3,0,0,0,3,1,0,4,0,0
CA,Spinocerebellar_ataxia_type_21,0,0,1,0,3,0,0,1,0,1
CA,Spinocerebellar_ataxia_type_23,3,2,0,0,1,2,0,0,0,0
CA,Spinocerebellar_ataxia_type_25,1,3,0,1,2,0,0,0,0,0
CA,Spinocerebellar_ataxia_type_26,2,0,0,0,3,2,0,0,0,0
CA,Spinocerebellar_ataxia_type_27,0,0,0,0,2,2,0,2,0,2
CA,Spinocerebellar_ataxia_type_28,2,0,0,0,3,1,0,1,0,0
CA,Spinocerebellar_ataxia_type_29,0,0,0,0,4,3,0,1,0,1
CA,Spinocerebellar_ataxia_type_3,3,0,0,0,3,1,1,0,0,0
CA,Spinocerebellar_ataxia_type_30,1,0,0,0,1,1,0,0,0,0
CA,Spinocerebellar_ataxia_type_31,3,1,1,2,1,0,0,1,0,0
CA,Spinocerebellar_ataxia_type_32,0,0,0,0,0,0,0,0,0,1
CA,Spinocerebellar_ataxia_type_34,0,0,0,2,2,1,0,0,0,0
CA,Spinocerebellar_ataxia_type_35,3,0,0,0,1,2,0,1,1,1
CA,Spinocerebellar_ataxia_type_36,3,0,0,0,1,4,2,0,0,0
CA,Spinocerebellar_ataxia_type_37,0,0,1,0,2,3,0,1,0,0
CA,Spinocerebellar_ataxia_type_38,0,0,0,0,2,0,0,0,1,0
CA,Spinocerebellar_ataxia_type_4,0,2,0,2,0,1,0,0,0,1
CA,Spinocerebellar_ataxia_type_40,2,0,0,0,1,2,0,1,0,0
CA,Spinocerebellar_ataxia_type_41,0,0,0,0,0,0,0,0,0,0
CA,Spinocerebellar_ataxia_type_42,1,0,0,0,6,0,0,3,0,0
CA,Spinocerebellar_ataxia_type_43,0,1,1,3,1,1,1,0,1,0
CA,Spinocerebellar_ataxia_type_5,0,0,0,0,0,1,0,0,0,0
CA,Spinocerebellar_ataxia_type_6,3,0,0,0,4,1,0,1,0,0
CA,Spinocerebellar_ataxia_type_7,3,0,0,0,3,3,0,0,1,1
CA,Spinocerebellar_ataxia_type_8,2,1,2,0,2,2,0,0,0,0
CA,Spinocerebellar_ataxia_with_axonal_neuropathy_type_1,0,2,0,1,1,1,1,0,0,0
CA,Spinocerebellar_ataxia_with_axonal_neuropathy_type_2,2,0,0,1,4,1,0,2,0,0
CA,Spinocerebellar_ataxia-dysmorphism_syndrome,0,0,0,0,1,0,0,0,0,0
CA,Spinocerebellar_degeneration-corneal_dystrophy_syndrome,0,0,0,0,0,1,0,0,0,1
CA,X-linked_sideroblastic_anemia_and_spinocerebellar_ataxia,2,0,0,0,2,1,0,0,0,0
CA,X-linked_spinocerebellar_ataxia_type_3,0,0,0,0,1,1,0,0,0,0
CA,X-linked_spinocerebellar_ataxia_type_4,1,0,0,0,0,0,0,1,0,2
HSP,Autosomal_dominant_spastic_paraplegia_type_10,3,3,1,0,0,0,1,0,1,1
HSP,Autosomal_dominant_spastic_paraplegia_type_12,5,2,1,0,0,1,1,0,1,0
HSP,Autosomal_dominant_spastic_paraplegia_type_13,5,1,1,0,0,0,0,0,1,0
HSP,Autosomal_dominant_spastic_paraplegia_type_17,3,1,0,0,0,0,1,1,3,0
HSP,Autosomal_dominant_spastic_paraplegia_type_19,5,2,1,0,0,1,1,0,1,0
HSP,Autosomal_dominant_spastic_paraplegia_type_29,4,1,0,0,0,0,0,0,0,0
HSP,Autosomal_dominant_spastic_paraplegia_type_3,3,1,1,0,0,0,1,0,0,0
HSP,Autosomal_dominant_spastic_paraplegia_type_31,3,2,2,0,0,0,1,0,2,0
HSP,Autosomal_dominant_spastic_paraplegia_type_36,3,3,1,0,1,0,0,0,2,0
HSP,Autosomal_dominant_spastic_paraplegia_type_37,5,1,1,0,0,0,0,0,1,0
HSP,Autosomal_dominant_spastic_paraplegia_type_38,3,1,1,0,0,0,3,0,3,1
HSP,Autosomal_dominant_spastic_paraplegia_type_4,4,0,2,0,0,0,1,0,1,1
HSP,Autosomal_dominant_spastic_paraplegia_type_41,2,0,1,0,0,0,1,0,2,0
HSP,Autosomal_dominant_spastic_paraplegia_type_42,4,1,2,0,0,0,1,0,1,0
HSP,Autosomal_dominant_spastic_paraplegia_type_6,2,1,1,0,0,0,1,1,0,0
HSP,Autosomal_dominant_spastic_paraplegia_type_73,3,1,1,0,0,0,1,0,0,0
HSP,Autosomal_dominant_spastic_paraplegia_type_8,4,1,2,0,0,2,1,0,1,0
HSP,Autosomal_dominant_spastic_paraplegia_type_9A,4,2,1,0,1,0,0,1,1,2
HSP,Autosomal_dominant_spastic_paraplegia_type_9B,3,0,0,1,0,0,0,1,0,2
HSP,Autosomal_recessive_spastic_paraplegia_type_11,1,0,0,0,3,1,2,0,1,4
HSP,Autosomal_recessive_spastic_paraplegia_type_14,3,0,1,0,0,0,0,0,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_15,2,1,3,0,3,0,1,1,2,3
HSP,Autosomal_recessive_spastic_paraplegia_type_18,5,1,1,0,2,0,0,1,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_20,4,1,1,0,0,0,2,0,1,1
HSP,Autosomal_recessive_spastic_paraplegia_type_21,3,0,1,0,0,0,0,0,1,4
HSP,Autosomal_recessive_spastic_paraplegia_type_23,2,0,0,0,0,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_24,3,0,1,0,0,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_25,0,1,0,0,0,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_26,3,0,1,0,0,0,1,0,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_27,2,0,0,0,0,1,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_28,3,0,2,0,0,0,0,0,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_32,2,1,0,0,0,0,0,0,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_35,4,0,2,0,1,2,0,0,2,2
HSP,Autosomal_recessive_spastic_paraplegia_type_39,3,0,1,0,0,0,1,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_43,3,1,1,1,0,1,1,0,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_44,0,0,1,0,1,1,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_45,3,0,1,0,1,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_46,4,0,2,0,2,2,0,1,0,2
HSP,Autosomal_recessive_spastic_paraplegia_type_48,2,0,1,0,0,1,0,0,1,1
HSP,Autosomal_recessive_spastic_paraplegia_type_53,2,1,0,0,0,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_54,0,0,0,0,1,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_55,3,1,2,0,2,1,1,0,4,2
HSP,Autosomal_recessive_spastic_paraplegia_type_56,2,0,0,0,0,0,0,0,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_57,1,0,1,0,0,0,1,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_59,2,0,2,0,1,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_5A,2,1,1,0,0,2,1,0,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_60,0,1,2,0,1,0,0,0,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_61,1,0,1,0,0,0,0,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_62,3,0,1,1,0,0,1,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_63,2,0,3,0,0,0,1,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_64,0,0,1,1,0,0,0,0,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_66,0,1,2,1,0,0,1,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_67,3,0,1,0,0,0,1,1,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_69,0,0,1,0,0,0,0,1,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_70,0,0,1,0,0,0,0,1,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_71,3,0,1,0,0,0,0,1,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_74,2,1,0,1,0,0,1,0,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_75,2,1,1,2,1,1,1,1,0,0
HSP,Autosomal_recessive_spastic_paraplegia_type_76,4,0,1,0,1,2,1,0,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_77,2,0,1,0,1,0,1,1,1,0
HSP,Autosomal_recessive_spastic_paraplegia_type_78,4,0,0,0,3,0,0,0,0,1
HSP,Autosomal_recessive_spastic_paraplegia_type_9B,3,0,1,1,0,0,1,1,1,1
HSP,Autosomal_spastic_paraplegia_type_30,2,1,1,0,1,1,1,0,0,0
HSP,Autosomal_spastic_paraplegia_type_58,6,0,1,0,1,2,2,3,0,1
HSP,Autosomal_spastic_paraplegia_type_72,0,0,1,0,0,0,0,1,0,1
HSP,Spastic_paraparesis-deafness_syndrome,2,0,0,0,1,1,0,0,0,0
HSP,Spastic_paraplegia_type_2,3,1,1,0,1,1,0,0,1,0
HSP,Spastic_paraplegia_type_7,3,1,1,0,2,0,0,0,2,0
HSP,Spastic_paraplegia-facial-cutaneous_lesions_syndrome,2,0,1,0,0,0,0,0,0,0
HSP,Spastic_paraplegia-glaucoma-intellectual_disability_syndrome,0,0,1,0,0,0,0,0,0,0
HSP,Spastic_paraplegia-intellectual_disability-nystagmus-obesity_syndrome,0,0,0,0,2,0,0,0,0,0
HSP,Spastic_paraplegia-nephritis-deafness_syndrome,2,0,1,0,0,0,0,0,0,0
HSP,Spastic_paraplegia-neuropathy-poikiloderma_syndrome,0,0,0,0,0,0,1,0,0,0
HSP,Spastic_paraplegia-optic_atrophy-neuropathy_syndrome,1,1,0,1,1,0,2,0,0,0
HSP,Spastic_paraplegia-Paget_disease_of_bone_syndrome,2,0,0,0,0,0,0,0,1,0
HSP,Spastic_paraplegia-precocious_puberty_syndrome,1,0,0,0,0,0,0,0,0,1
HSP,Spastic_paraplegia-severe_developmental_delay-epilepsy_syndrome,0,0,2,0,1,1,0,0,0,0
